stdev,min,avg,max
evl-baseline-read-raw-1-slat,,,
1187.02,31.0,89.43,131633.0
evl-baseline-read-raw-1-clat,,,
31750.0,2000.0,42050.0,1011000.0
evl-baseline-read-raw-1-bw,,,
5.26704,2.08,24.300240000000002,26.232
evl-baseline-read-raw-10-slat,,,
22647.22,33.0,9417.04,292219.0
evl-baseline-read-raw-10-clat,,,
231940.0,28000.0,378070.0,1554000.0
evl-baseline-read-raw-10-bw,,,
0.97056,7.744,26.21336,56.480000000000004
evl-baseline-read-raw-100-slat,,,
134798.61,36.0,120261.46,1236200.0
evl-baseline-read-raw-100-clat,,,
961820.0,37000.0,3694480.0,7464000.0
evl-baseline-read-raw-100-bw,,,
0.11208,5.944,26.31328,75.944
evl-baseline-read-raw-1000-slat,,,
332901.79,10.0,299804.65,4379600.0
evl-baseline-read-raw-1000-clat,,,
2642860.0,7000.0,8971000.0,21407000.0
evl-baseline-read-raw-1000-bw,,,
0.01672,7.936,27.95128,98.04
evl-baseline-read-ext4-1-slat,,,
645.03,31.0,131.98,54577.0
evl-baseline-read-ext4-1-clat,,,
2687110.0,2000.0,88200.0,150316000.0
evl-baseline-read-ext4-1-bw,,,
2.6283200000000004,2.176,25.19808,26.328
evl-baseline-read-ext4-10-slat,,,
23893.49,34.0,9335.11,408118.0
evl-baseline-read-ext4-10-clat,,,
231330.0,29000.0,378640.0,1627000.0
evl-baseline-read-ext4-10-bw,,,
0.9872000000000001,7.424,26.20416,59.064
evl-baseline-read-ext4-100-slat,,,
134966.19,37.0,120021.7,1263200.0
evl-baseline-read-ext4-100-clat,,,
1013210.0,33000.0,3686680.0,7734000.0
evl-baseline-read-ext4-100-bw,,,
0.11664000000000001,6.04,26.3748,79.85600000000001
evl-baseline-read-ext4-1000-slat,,,
340258.94,10.0,300333.67,4715800.0
evl-baseline-read-ext4-1000-clat,,,
2681590.0,10000.0,8986340.0,18980000.0
evl-baseline-read-ext4-1000-bw,,,
0.01736,7.912,27.95456,104.536
evl-baseline-read-xfs-1-slat,,,
2185.3,32.0,957.83,33386.0
evl-baseline-read-xfs-1-clat,,,
16820.0,3000.0,46150.0,130000.0
evl-baseline-read-xfs-1-bw,,,
2.22872,16.304000000000002,21.744880000000002,25.816
evl-baseline-read-xfs-10-slat,,,
25995.11,33.0,11411.2,1166600.0
evl-baseline-read-xfs-10-clat,,,
261829.99999999997,2000.0,396790.0,4208000.0
evl-baseline-read-xfs-10-bw,,,
1.00696,2.488,24.884400000000003,64.36
evl-baseline-read-xfs-100-slat,,,
141024.6,37.0,120123.84,1734200.0
evl-baseline-read-xfs-100-clat,,,
1069390.0,38000.0,3690550.0,8402000.0
evl-baseline-read-xfs-100-bw,,,
0.12936,5.2,26.382720000000003,89.12
evl-baseline-read-xfs-1000-slat,,,
382064.54,10.0,328097.6,7198700.0
evl-baseline-read-xfs-1000-clat,,,
3431910.0,12000.0,9846530.0,25806000.0
evl-baseline-read-xfs-1000-bw,,,
0.01688,7.944,26.15936,101.06400000000001
evl-baseline-read-raid0-1-slat,,,
1080.21,55.0,847.2,22009.0
evl-baseline-read-raid0-1-clat,,,
15311.36,2487.0,28541.41,97034.0
evl-baseline-read-raid0-1-bw,,,
7.70152,21.984,34.829519999999995,57.664
evl-baseline-read-raid0-10-slat,,,
5664.22,62.0,4201.92,91172.0
evl-baseline-read-raid0-10-clat,,,
68790.0,3000.0,136640.0,484000.0
evl-baseline-read-raid0-10-bw,,,
1.2292,45.616,71.85752000000001,100.944
evl-baseline-read-raid0-100-slat,,,
37516.65,67.0,42520.17,430753.0
evl-baseline-read-raid0-100-clat,,,
367990.0,7000.0,1308100.0,2718000.0
evl-baseline-read-raid0-100-bw,,,
0.21176,34.208,73.03136,140.592
evl-baseline-read-raid0-1000-slat,,,
0,0,0,0
evl-baseline-read-raid0-1000-clat,,,
0,0,0,0
evl-baseline-read-raid0-1000-bw,,,
0,0,0,0
